Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,RelevantEducationLevel,JobLevel,JobRole,RecruiterScore,MaritalStatus,JobType,NumCompaniesWorked,OverTime,SalaryExpectation,InterviewScore,ResumeScore,RequestedBenefits,TotalWorkingYears,PreferredSkills,YearsAtCurrentCompany,RelevantExperience,MonthlyIncome,Ethnicity,HIRED
33,Travel_Frequently,Research & Development,3,4,Life Sciences,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,8,7,full_time,non-minority,YES
32,Travel_Frequently,Research & Development,2,2,Life Sciences,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,7,7,contract,non-minority,YES
35,Travel_Rarely,Research & Development,16,3,Medical,Male,4,1,Laboratory Technician,2,Married,2426,0,No,13,3,3,1,6,5,5,4,full_time,non-minority,YES
29,Travel_Rarely,Research & Development,21,4,Life Sciences,Female,4,3,Manufacturing Director,1,Divorced,9980,1,No,11,3,3,1,10,1,10,9,full_time,non-minority,YES
34,Travel_Rarely,Research & Development,7,4,Life Sciences,Female,3,3,Research Director,2,Single,11994,0,No,11,3,3,0,13,4,12,6,full_time,minority,YES
53,Travel_Rarely,Research & Development,5,3,Other,Female,3,5,Manager,3,Divorced,19094,4,No,11,3,4,1,26,3,14,13,contract,non-minority,YES
42,Travel_Rarely,Sales,8,4,Marketing,Male,3,2,Sales Executive,2,Married,6825,0,No,11,3,4,1,10,2,9,7,contract,minority,YES
30,Travel_Rarely,Research & Development,9,2,Medical,Male,2,1,Laboratory Technician,3,Single,2206,1,No,13,3,1,0,10,5,10,0,full_time,non-minority,YES
43,Travel_Rarely,Research & Development,2,2,Medical,Female,4,1,Research Scientist,3,Divorced,2645,1,No,12,3,4,2,6,3,5,3,full_time,non-minority,YES
27,Travel_Frequently,Sales,8,3,Life Sciences,Male,3,3,Sales Executive,3,Single,8726,1,No,15,3,4,0,9,0,9,8,full_time,non-minority,YES
30,Travel_Frequently,Research & Development,1,2,Medical,Female,3,2,Laboratory Technician,4,Single,4011,1,No,23,4,4,0,12,2,12,8,full_time,non-minority,YES
37,Travel_Rarely,Research & Development,19,2,Life Sciences,Male,3,1,Research Scientist,2,Married,3022,4,No,21,4,1,0,8,1,1,0,contract,non-minority,YES
46,Travel_Frequently,Sales,5,4,Marketing,Male,3,2,Sales Executive,4,Single,5772,4,Yes,21,4,3,0,14,4,9,6,full_time,minority,YES
33,Travel_Frequently,Research & Development,1,2,Life Sciences,Female,3,3,Research Director,4,Single,13458,1,Yes,12,3,3,0,15,1,15,14,contract,minority,YES
50,Travel_Rarely,Research & Development,7,2,Medical,Female,2,5,Research Director,3,Divorced,18740,5,Yes,12,3,4,1,29,2,27,3,contract,non-minority,YES
36,Travel_Frequently,Research & Development,11,3,Life Sciences,Male,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,3,0,6,3,6,5,contract,non-minority,YES
59,Travel_Frequently,Sales,1,1,Life Sciences,Female,2,2,Sales Executive,3,Single,5473,7,No,11,3,4,0,20,2,4,3,contract,non-minority,YES
32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,2,Research Scientist,2,Married,6220,1,No,17,3,2,2,10,3,10,4,full_time,non-minority,YES
31,Travel_Rarely,Research & Development,8,4,Life Sciences,Female,3,2,Manufacturing Director,4,Single,4424,1,No,23,4,4,0,11,2,11,7,full_time,non-minority,YES
46,Travel_Rarely,Human Resources,5,2,Medical,Male,3,2,Human Resources,2,Divorced,5021,8,Yes,22,4,4,1,16,2,4,2,full_time,non-minority,YES
30,Travel_Rarely,Research & Development,1,1,Life Sciences,Male,2,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,3,2,10,1,10,8,full_time,non-minority,YES
38,Non-Travel,Research & Development,6,3,Medical,Female,1,2,Research Scientist,4,Divorced,5329,7,Yes,12,3,4,3,17,3,13,11,full_time,non-minority,YES
34,Travel_Rarely,Research & Development,1,2,Medical,Male,3,2,Manufacturing Director,2,Married,4325,1,No,15,3,3,0,5,2,5,2,full_time,non-minority,YES
56,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,1,3,Manufacturing Director,4,Single,7260,4,No,11,3,1,0,37,3,6,4,full_time,non-minority,YES
30,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,2,Healthcare Representative,4,Married,4152,1,No,19,3,1,3,11,3,11,10,full_time,minority,YES
46,Travel_Rarely,Sales,9,2,Medical,Male,2,3,Sales Executive,4,Single,9619,1,No,16,3,4,0,9,3,9,8,full_time,minority,YES
51,Travel_Rarely,Sales,21,4,Marketing,Male,3,2,Sales Executive,4,Single,5441,0,Yes,22,4,4,0,11,2,10,7,full_time,non-minority,YES
30,Travel_Rarely,Sales,4,2,Medical,Female,2,2,Sales Executive,2,Divorced,5209,1,Yes,12,3,2,3,11,4,11,8,full_time,non-minority,YES
32,Travel_Rarely,Sales,6,4,Medical,Male,3,2,Sales Executive,3,Single,5010,1,No,16,3,1,0,12,0,11,8,full_time,minority,YES
24,Travel_Rarely,Sales,3,2,Other,Female,3,2,Sales Executive,3,Married,4999,0,No,21,4,1,1,4,2,3,2,full_time,non-minority,YES
28,Non-Travel,Sales,4,3,Medical,Male,3,2,Sales Executive,3,Married,4221,1,No,15,3,2,0,5,3,5,4,full_time,non-minority,YES
34,Travel_Rarely,Research & Development,6,4,Other,Female,3,2,Research Scientist,3,Single,4809,1,No,14,3,3,0,16,3,16,13,full_time,minority,YES
34,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,1,2,Laboratory Technician,3,Single,6074,1,Yes,24,4,4,0,9,3,9,7,full_time,minority,YES
24,Travel_Rarely,Research & Development,18,1,Life Sciences,Male,3,1,Laboratory Technician,3,Married,2774,0,No,12,3,3,1,6,2,5,3,contract,non-minority,YES
37,Travel_Rarely,Sales,3,3,Life Sciences,Male,3,3,Sales Executive,4,Single,7428,2,No,12,3,1,0,12,3,5,3,full_time,non-minority,YES
33,Non-Travel,Sales,22,2,Marketing,Male,3,2,Sales Executive,2,Married,6146,0,No,13,3,1,1,8,2,7,7,full_time,non-minority,YES
56,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,3,1,Research Scientist,2,Married,4963,9,Yes,18,3,1,3,7,2,5,4,full_time,non-minority,YES
31,Travel_Rarely,Sales,6,4,Life Sciences,Male,1,2,Sales Executive,3,Married,6172,4,Yes,18,3,2,0,12,3,7,7,full_time,non-minority,YES
26,Travel_Rarely,Research & Development,6,3,Other,Female,2,1,Research Scientist,2,Married,2368,1,No,19,3,3,0,5,3,5,4,full_time,non-minority,YES
39,Travel_Rarely,Sales,4,4,Life Sciences,Female,2,2,Sales Executive,3,Married,5902,4,No,14,3,3,1,17,1,15,11,full_time,minority,YES
